title,keywords
2023 - The Ethics Triangle ,"Ethics Lawyers, Lawyers Malpractice, Practice of law"
2023 Advanced Worker's Compensation,Workers' compensation
2023 Applied Professionalism ,"Practice of law, Legal ethics, Lawyers malpractice"
2023 Elder Law Institute,"Older people, Legal assistance to older people"
2023 Worker's Compensation Institute,Workers' compensation
21st Annual Family Law Institute,Domestic relations
23rd Annual Indiana Property Tax Institute,Property tax
45th Annual Judge Robert H. Staton Indiana Law Update,Indiana law
"50th Annual Midwest Estate, Tax and Business Planning Institute","Estate planning, Tax planning"
"60 Litigation Tips, Tricks, Apps, and Websites in 60 Minutes","Litigation, Actions and defenses"
7th Annual Advanced Issues in Immigration,"Emmigration and immigration law, Noncitizens"
"90 Hot Tips in Estate, Trust and Probate Practice","Estate planning, Probate law and practice"
A Deep Dive Into The UCC,"Uniform commercial code, Security (Law)"
Access Approved or Access Denied - The Three Paths to Public Records,"Security (Law), Database security, Data protection"
Adoption Law in Indiana,"Adoption, Adoption Law and legislation Indiana, Adoption Law and legislation United States"
Adult Guardianship Training,Guardian and ward
Advanced Civil Mediation,"Mediation, Dispute resolution (Law)"
Advanced Corporate Counsel,"Corporation law, Corporation lawyers, Practice of law"
Advanced Cybersecurity_ Protecting the Store for Your Business Client ,"Legal ethics, Risk management"
Advanced Elder Law ,"Older people, Legal assistance to older people"
Advanced Family Law (South),Domestic relations
Advanced Individual Bankruptcy Chapters 7 & 13,"Bankruptcy, Debtor and creditor"
Advanced Issues in DUI Defense,"Drunk driving, Traffic violations, Actions and defenses"
Annual DUI Defense Update,"Drunk driving, Traffic violations, Actions and defenses"
"Avoiding Malpractice_ The Good, The Bad, and The Ugly of Legal Technology","Practice of law, Technology"
Blood & Chemical Testing_ What You Need to Know and Why You Need to Know It,"Chemistry, Forensic, United States"
Calling & The Legal Profession,Legal ethics
Charitable Giving_ The Basics to Advanced Applications,Charity laws and legislation
CME for Family Mediators ,"Family mediation, Dispute resolution"
CME Update for Civil Mediators_ Advancing Your Civil Mediation Practice,"Family mediation, Dispute resolution"
Courtroom Presentation Technology_ Avoiding Death by PowerPoint,"Practice of law, Technology"
Damages in Personal Injury & Wrongful Death Cases,"Personal injuries, Wrongful death"
Decanting to Modify Irrevocable Indiana Trusts,"Trusts and trustees, Indiana"
Document & Discovery Management for Litigators,"Litigation, Discovery (Law), Actions and defenses"
Document Assembly Technology_ What it Can Do for Your Practice & How to Evaluate the Players,"Practice of law, Technology"
Emotional Distress and Other Psychological Damages,Liability for emotional distress
Equipping Attorneys for Difficult Conversations,"Practice of law, Lawyers"
"Estate Planning Strategies, Tools, Techniques & More!",Estate planning
Ethics_ Centralizing & Securing Your Documents,Legal ethics
Evidence for Trial Lawyers,"Trial practice, Lawyers"
Federal Civil Practice,Civil procedure
Find Your Landing Zone - Thinking of Life Beyond the Bar,"Practice of law, Lawyers, Job satisfaction"
Find Your Landing Zone - Thinking of Life Beyond the Bar,"Practice of law, Lawyers, Job satisfaction"
Gain the Edge! - Negotiating To Get What You Want,"Negotiation in business, Negotiation"
Health Law_ Updates You Need To Know,"Health insurance, Law and legislation"
"How to Become a Published Author, Represent One, & Protect Your Client's Film & TV Rights","Authorship, Publishing"
How to Try a Case in the Indiana Commercial Courts ,"Commercial law, Trial practice"
Indiana Appellate Practice,Appellate procedure
Indiana's New Health Care Advance Directive ,"Health insurance, Law and legislation"
Lawyer's Guide to Financial Planning,"Personal finanace, Lawyers"
Legislative Update 2023,Indiana law
Making the Decision or Stuck With the Decision_ Arbitration vs. Litigation in Employment Matters ,"Industrial arbitration, Litigation, Labor"
Mastering Litigation in the Modern Age,"Litigation, Practice of law"
Mastering Microsoft Word Formatting Complex Pleadings,"Word processing, Legal composition, Legal correspondence, Law offices, Automation"
Mastering Microsoft Word in the Law Office,"Word processing, Legal composition, Legal correspondence, Law offices, Automation"
Matter - Case Management Software_ Why Outlook Isn't Good Enough,Project management
Midwest Intellectual Property Summit,Intellectual property
Real Estate Brokerage Law Update,"Real property, Law and legislation"
Recent Developments in Employment Law ,Labor laws and legislation
Representing Clients on VA Benefits,"Services for veterans, legal status"
Sigmund J. Beck Advanced Bankruptcy Roundtable,Bankruptcy
Steven H. Ancel Annual Bankruptcy Institute,Bankruptcy
Strategies for Taking Charge of Your Law Practice ,"Negotiation in business, Negotiation, Practice of law, Law offices"
Successfully Transferring Wealth to the Next Generation Family,"Estate planning, Inheritance and transfer tax"
Survivor's Guide to Everyday Estate Planning,"Estate planning, Probate law and practice, Trust and trustees"
Taking Control of Your Finances,"Personal finanace, Lawyers"
The Corporate Transparency Act,"Business enterprise, Disclosure of information"
The Ethics & Malpractice Risk of _Zealous Representation_,"Practice of law, Lawyers, Malpractice"
The Evolution of Speech Recognition Software_ You Won't Believe How Good It Has Become,"Speech perception, Automatic speech recognition"
The Modern Business Law Practice,Commercial law
The Role of Fixed Income Investments ,"Investments, Personal finance"
The Use of Artificial Intelligence in the Practice of Law,Artificial intelligence
Things I Learned_ A Caregiver's Journey ,Caregivers
Time Management_ How to Better Manage Your Workload & Time,Time management
Working from Home Safely - Cybersecurity & Ethical Considerations,"Legal ethics, Risk management, Computer security"
Year in Review ,Indiana law
